ng,מסגד,outskirts,פרוורים,meticulous,"מדוקדק, קפדני",impregnable,"בלתי חדיר, בלתי מנוצח",divergence,"שונות, סטייה",ponderous,"כבד מאוד, מסורבל, מגושם",demean,"להשפיל, לזלזל",turbulence,"מהפכה, ערבוביה",outrage,"1.זעם, שערוריה 2.עלבון",paternal,אבהי,synonym,"סינונים, מילה נרדפת",suceptible,"רגיש, פגיע",intricate,מורכב
mire,"בוץ, רפש, טיט",emphysema,נפחת (מחלה שמתבטאת בהתנפחות רקמות),cedar,סוג של עץ (ארז),outskirt,"פאתי, שולי",reprimand,לנזוף,accelerated,הואצו,herd,"1.לאסוף, לכנס 2. רועה, עדר",,,bulb,1.נורה 2.פקעת (יצא מתוך צורה של ביצה),uninvited,לא מוזמן,plough,לחרוש (בעזרת מחרשה),hearsay,"עדות שמועה, שמועה",,
transcendent ,יוצא מן הכלל,artistry,אמנותיות,soar,"המריא, עלה",nail,"מסמר, ציפורן",hutherto,"עד כה, נכון לעכשיו",bestowed,הוענק,hinder,"למנוע, לעכב",flea,פרעוש,burden,"נטל, עול",unprecedented,"חסר תקדים, שלא היה כמותו",dish,1.צלחת 2.מנה,outline,"לתאר בראשי פרקים, קווי מתאר",,
maladaptive,לא מסתגל,mourn,להתאבל,ditch,1.חפר 2. עזב,dormitory,"פנימייה, חדר שינה",immensely,במידה רבה,interrogated,חקרו אותו,hitherto,"עד עתה, עד כה ",flock,עדר,bureau,"לשכה, משרד",unroofed,לא מקורה,decimate,"השמדה, הרס כבד",propagate,"1.להפיץ, להתפשט 2.להתרבות",,
whizz,לזוז ממש מהר,aviation,תעופה,volatile,1.נדיף (היכולת להפוך לגז) 2. בלתי יציב,tide,גאות ושפל,conspicuous,בולט,abrupt,פתאומי,,,,,,,,,impair,"לפגוע, לפגום",respectively,בהתאמה,,
,,,,,,,,,,,,hush,"להשתיק, השתקה ",flora,"עולם הצומח, צמחייה",busted,1.שבור 2.נתפס על חם,unscrew,להבריג החוצה,,,,,,
eccentricities,מוזר או מצחיק בדרך משעשעת,soot,פיח,malaise,"מבוכה, חוסר נעימות",hoax,מתיחה,rout,להנחיל תבוסה,valid,תוקף (סמכות),impair,"להחליש, לפגום",floral,פרחוני,butler,משרת,upkeep,תחזוקה,automate,1.ממוחשב 2.אוטומטי,strive,1.לשאוף 2.להתאמץ,,
vices,"פגמים, חטאים",diversify,גיוון,scorching,"לוהט, צורב",tentative,"נסיוני, זמני",cherish,"להוקיר, להעריך",vertebrae,חוליות עמוד השדרה,impaired ,"מוחלש, פגום",fossil,מאובן,,,uproar,המולה,idiomatic,ניב (זה ניב),reprove,"לנזוף, לגעור",,
formidable ,"נורא, איום",midwives,מילדת,curator,אוצר (של מוזיאון),amnesty,חנינה,imminent,עתיד לקרות,heretic,כופר,inanimate,דומם,fur,פרווה,captivate,"להקסים, ללכוד את תשומת הלב",utmost,1.עליון 2.קיצוני 3.הגדול ביותר,dialect,ניב (שקשור לאזור גיאוגרפי),immensely,"במידה רבה, ביותר",,
likens ,"לדמות, להשוות",referral,הפנייה,slim,"רזה, צנום",tailor made,בהתאמה אישית,abolish,לבטל,standpoint,עמדה,incidence ,1.כמות 2.שכיחות,gazelle,איילה,cargo,מטען,vacancy,1.מקום ריק 2.משרה פנויה,flute,חליל,impartial,"אובייקטיבי, הוגן",,
 archenemy,אויב ראשי,ladder,סולם,sluggish,"אדיש, עצל",fertility,פיריון,restatement,ניסוח מחדש,contributory,"תורם, מסייע",infant,תינוק,goose,אווז,carriage,"עגלה, קרון",vacant,1.ריק 2.פנוי,exquisitely,בצורה מעולה,invariable,"קבוע, תמידי",,
interferes ,"להפריע, להתערב",dispersed,"הפיץ, פיזר, התפזר",boulder,גוש סלע גדול,dock,לעגון,,,tendency,נטייה,infancy,ינקות,greenery,1.צמחייה 2.חממה,catchphrase,"ביטוי קליט, אמירת כנף",variable,"משתנה, לא קבוע",ulnae,עצם האמה,yearn,"לכמוה, להשתוקק",,
,"להפריע, להתערב",insurrection,התקוממות,amplifying,"הגביר, הגדיל עוצמה",precedence,"עדיפות, קידמה",,,cupboard,ארון כלים,,,,,,,,,crane,1.מנוף 2.סוג של עוף (עגור),dwindle,"להתמעט, להתכמץ",,
,,,,,,,,,,,,infect ,"להדביק, לזהם",greenhouse,חממה,catchword,"מילת מפתח, ביטוי קליט",variant,1.גרסה שונה 2.משתנה,,,,,,
sunken,"שקוע, מוטבע",impeachment,"האשמה, הדחה, העמדה לדין",runoff,"סיבוב שני (בחירות), התמודדות מכרעת",cramped,מכווץ,jest,"צחוק, הלצה",depict,"לצייר, לתאר",inferior,"נחות, כפוף למרותו ",growl,"לנהום, נהמה",cater,לספק,vary,להשתנות,cellar,מרתף,conscientious,"1.מצפוני 2.יסודי, מעמיק",,
clerk,פקיד,routes,"דרך, נתיב, מסלול",cremated,שרף (גוויה),comprise,"לכלול, כולל",ascertain,"לוודא, לאמת",portion,"1.חלק 2.מנה, ארוחה",inform,"ליידע, לעדכן",harness,"לרתום, רתמה",,,velocity,מהירות,kiln,כבשן (שמשמש ליצירות אומנות),course,1.מהלך 2.מסלול 3.מנה 4.קורס,,
vault,מרתף שמחזק בניין או ששומרים בו דברים,wither,"נבל, קמל",paramilitary,צבאי למחצה,feast,סעודת חג,withstand,לעמוד בלחץ,adherence,"דבקות, הידבקות",injection ,זריקה,hawk,נץ,censor,לצנזר,vend,למכור,excavate,"נחפר, נחשף",equivocal,"דו משמעי, מעורפל",,
barmaid,ברמנית,backlash,תגובת נגד חריפה,merger,מיזוג,clambered,"לטפס, לטפס במאמץ",evenly,באופן שווה,jest,"בדיחה, הלצה",insert,"להחדיר, להכניס",hay,חציר,census,מפקד אוכלוסין,vendetta,נקמת דם,evacuate,"לפנות, פונה",verifiable,ניתן לווידוא,,
paternity,אבהות,echoing,הדהוד,allege,"1.טען, הצהיר 2.האשים",murky,"חשוך, קודר",dominate,"לשלוט, להיות דומיננטי",annex,"סיפח, צירף",integrity ,"הגינות, יושר",hibernate,לישון שנת חורף,chancellor,"נגיד, קנצלר",vendor,מוכר או מספק מוצר,formidable,"מפחיד, מטיל אימה",dubious,"מפוקפק, מוטל בספק",,
pawnshop,"בית עבוט, בית משכון",subsided,"נרגע, שכך",valuation,"הערכה, אומדן",scour,לצחצח (ניקיון בעזרת משהו קשיח),de facto,הלכה למעשה,tyranny,שלטון עריצות,intellect ,"חוכמה, יכולת לחשוב",hoof,פרסה,chariot,מרכבה,venture,1.יוזמה 2.השקעה ,exhilarating,מלהיב,sensible,"הגיוני, סביר",,
leased,"חכור, שכור",retardant,"גורם שמעכב, מחליש",threshold,"סף, מפתן",contemplated by,נשקלו (הורהרו) על ידי,take off,להמריא,distribute,"חילק, סיפק, הפיץ",,,,,,,undetected,שלא מבחינים בו,revise,"לתקן, לעדכן",sophisticated,"מתוחכם, מורכב",,
,,,,,,,,,,,,intend,"לייעד, להתכוון",orchard,"בוסתן, פרדס",charter,1.שכר 2.כתב זכויות ,vessel,1.כלי קיבול נוזלים 2.כלי שיט 3. כלי דם,,,,,,
exonerate,"לזכות, לטהר שמו",irreconcilable,שלא ניתן לפייס עליו,exacerbate,"החמיר, החריף",graspe,נתפס,haste,"מהירות, פזיזות",eclipse,ליקוי,interpret,לפרש,,,chasm,"תהום, בקיע",viable,"מעשי, אפשרי",abridge,"לקצר, לתמצת",attorney,"עורך דין, מיופה כוח",,
extravagantly,בדרך ששגורמת לך לבזבז (הרבה משאבים),infiltrated,הסתנן,desiccated,מיובש,paved,"נסלל, מרוצף",foreseeable,שניתן לחזותו,implicate,"עירב, סיבך, השפיע",interpreter ,"פרשן, מתורגמן",ostrich,יען,cipher,"1.צופן, קוד 2.ספרה",vice,1.סגן 2.חיסרון 3.הפקרות 4.מלקחיים 5.פשע,proofreading,"הגהה, תיקון טעויות",,,,
Practitioners,עוסקים,exploited,מנוצל,sedate,"1.הרגיע 2.סימם, נתן תרופת הרגעה",amend,"לתקן, להשביח",insect,חרק,lesisure,פנאי,isle,אי,pigeon,יונה,cite,לצטט,vindicate,"להצדיק, לזכות",handle,"1.ידית, מאחז 2.להתמודד",inherent,"טבוע, מובנה",,
threshold,"סף, גבול",vendors,"מוכרים, ספקים",exploitation,ניצול,sweeping,"סוחף, כולל, נרחב",heresy,כפירה,harvest,"קציר, לקצור",idle,"בטלן, עצלן",purr,"לגרגר, גרגור",clasp,"1.אבזם 2.לחיצה, אחיזה",,,engagement,1.אירוסין 2.מעורבות 3.מחוייבות,stench,"צחנה, סירחון",,
gleaned,"לאסוף, ללקט",dismantling,פירוק,euthanize,המית בהמתת חסד,occupant,דייר,vain,יהיר,keen,"נלהב, חד, פיקח",ignite ,"להצית, להדליק",reindeer,איל,clay,חימר,ward,"מחלקה, אגף",unannounced,מבלי שהוכרז,commerce,"מסחר, סחר",,
quantitative,כמותי,resilient,"גמיש, בעל יכולת התאוששות מהירה",axle,"סרן, ציר",ignite,"להדליק, להצית",corollary,תוצאה ישירה תולדה,consciously,במודע,immaculate,"ללא רבב, טהור",shear,לגזוז,cleanse,לטהר,wax,"1.שעווה 2.לגדול, להתמלא",dim,"עמום, חלש, מעורפל",,,,
attribute,תכונה,costlier,יקר יותר,silt,טין,weary,עייף (מותש),stratum,"שכבה, רובד",burden,"נטל, עול",,,,,,,trench,"חפירה, תעלה",deprivation,"מחסור, קיפוח",situated,"ממוקם, נמצא",,
,,,,,,,,,,,,imminent ,צפוי להתרחש בקרוב,shepherd,רועה צאן,cleave,1.לבקע 2.לשסע,well-prioritized,מתועדף היטב,,,,,,
criteria,קריטריונים,steer,"הכווין, הנחה",graft,"הרכיב, השתיל",sanctuary,"מקלט, מסתור",fascinate,להקסים,labourer,"פועל, עובד",impartial ,"הוגן, בלתי משוחד",sloth,1.עצלן 2.עצלות,cluster,"להתקבץ, מקבץ",whip,"1.שוט 2.להצליף, להלקות 3.לנוע או להחיז במהירות 4.להקציף",manifestation,"ביטוי, הפגנה, התגשמות",eulogy,1.הספד 2.דברי שבח,,
divergent,"1. מסתעף 2. סוטה, שונה ",whopping,גדול בצורה בלתי רגילה,restoration,שחזור,deceived,"מרומה, הונה (על ידי מישהו)",modification,"תיקון, שינוי",susceptible,"רגיש, פגיע",impeccable ,"מושלם, ללא רבב",,,clutter,"1.עומס 2.אי סדר, ערבוביה",withdrawal,1.נסיגה 2.פרישה 3.תסמיני נסיגה כתוצאה מגמילה,prolific,פורה,diversion,"1.הסחת דעת 2.הטייה, מעקף",,
covariance,שיתופיות,abhorrent,"שנוא, מתועב",amnesty,חנן (חנינה),resent,"כעס, התרעם",stuntman,פעלולן,abolish,לבטל,impede,"להכשיל, להפריע ",sprig,ענף,coincide,"1.לחפוף 2.להסכים, להעלות בקנה אחד",withstand,"להתמודד, לעמוד ב",depart,"עזב, יצא",,,,
granular,"גרגירי, גרעיני",flour,קמח,erode,"שחק, פורר, בילה",interfere with,להפריע ל,heart - rending,קורע לב,absolute,מוחלט,implant ,"להשתיל, להטביע ",,,collegiate,"לחבור, להתאגד",workshop,"סדנה, בית מלאכה",altruistic,זולתני,residue,"שארית, משקע",,
implementing,"יישום, להגשים",alleges,"טוען, לטעון",confine,"הגביל, תחם (לגרום למשהו לא לעזוב תחום מסוים של מקום)",whether,אם,audacious,נועז,cherish,"לטפח, להוקיר",implement ,"להטמיע, ליישם",swan,ברבור,combustion,בעירה,wrath,"זעם, חימה",maneuver,"לתמרן, תמרון",gracious,"נעים הליכות, אדיב",,
laymen,לא מקצועי,intervene,להתערב,wriggling,"התפתל, התעקל",either,באחד מהשניים (זה או זה),inspect,לפקח,excavation,חפירה,impoverish ,"לדלל, לרושש",tick,1.קרציה 2.לתקתק,comet,כוכב שביט,wreck,"להרוס, להחריב",blanketed,"שמיכה, לכסות",commensurate,"הולם, מתאים",,
,,,,,,,,,,,,,,,,,,zenith,"שיא, נקודת קודקוד",,,,,,
pseudonyms,שמות בדויים, manslaughter,הריגה,marsupial,חיית כיס,tame,לאלף,curating,"אצר תערוכה, שימש כאוצר בתערוכה",disdained,מזלזל,impoverished ,"מדולל, מרושש",toad,קרפדה,commission,"1.להסמיך 2.מינוי, תפקיד 3.עמלה",pot,1.סיר 2.עציץ,sight,1.ראייה 2.השקפה,birch,ליבנה (סוג של עץ),,
squaring ,מתיישב,intoxicated,שתוי,intoxicated,"1.שיכור, מבושם 2.נלהב",resentment,טינה,dozen,,frivolous,"קל דעת, טיפשי",implore ,"להפציר, להתחנן ",tulip,צבעוני (סוג של פרח),commodity,מצרך,sip,"ללגום, לגימה",frail,"חלש, שביר",compulsion,"כפייה, דחף בלתי נשלט",,
inaugural,פתיחה,endorsing,מתן אישור,ombudsman,נציב תלונות הציבור,accompaniment,ליווי,linger,להשתהות,knot,קשר,impose ,1.לאכוף 2.להטיל 3.לנצל,twig,"ענף, זרד",commonwealth,"חבר עמים, קהילה",urgently,"בדחיפות, בבהילות",merchant,"סוחר, תגרן",derivation,"הפקה, הוכחה (לוגית)",,
prodigious,מפתיע,pollutants,מזהמים,poultry,עופות,hinder,"למנוע, לעכב",wander,לשוטט,faciliate,"לסייע בעשיית דבר מה, לאפשר",impregnable ,"בלתי חדיר, בלתי מנוצח",agitated,"הסעיר, הטריד",commute,1.נסיעה יום יומית לעבודה 2.להמתיק עונש 3.להחליף,restrictive,"מגביל, מצמצם",heed,1.לתת תשומת לב 2.להאזין,net,1.נטו 2.רשת ,,
milieu,"סביבה, צורת חיים",sanitizers,חומר חיטוי,caught up with,הדבקת פערים,chew,ללעוס,ambivalence,רגשות סותרים,by all means,בהחלט,incessant ,"בלתי פוסק, תמידי",discredit,להוציא שם רע,compel,"לאלץ, להכריח",representative,"נציג, בא כוח",indecency,"מגונה, חוסר צניעות",thirst,"1.צמא 2.תשוקה, רעב למשהו",,
ailments,מחלות,showcased,מוצג לראווה,given rise to,"עורר, הוביל ל",folds,"מכיל בתוכו, כולל, עוטף",essence,מהות,lecture,"להרצות, הרצאה",incidental ,1.מקרי 2.משני,disdain,"לבוז, בוז",compensate,לפצות,an inference,"מסקנה, הסקה",holstered,נרתיק (של נשק),redundant,"1.מיותר, עודף 2.מפוטר",,
godfather,סנדק,Indigenous,"ילידי, מקומי",grudge,טינה,prosperous,משגשג,grim,"עצוב, קודר",prospect,"סיכויים, אפשרות",incite ,"להסית, לשסות (כנגד)",superficial,שטחי,compilation,"אוסף, לקט",a promotion,"קידום, העלאה בדרגה",radish,צנון ,reluctant,"מסוייג, מהסס",,
,,,,,,,,,,,,,,,,,,wane,"1.לדעוך, להתמעט 2.להתפוגג",,,defiant,"סרבן, מתריס",,
unaided,ללא סיוע,dampened,1.לדכא 2. לדכא,blunder,"לפשל, טעות גסה (פליטת פה)",commended,"שיבח, פיאר",nocturnal,לילי,buffon,ליצן,inclination ,נטייה (למשהו),riddle,חידה,compile,"לאסוף, ללקט",underwent,"עבר, חווה",braying,בכי של חמור,consternation,1.תדהמה 2.פחד,,
seclusion,"הסתגרות, בדידות",bark,1. לנבוח 2. קליפה של עץ,detour,מעקף,pillage,לבזוז,collaboration,שיתוף פעולה,rush,נהירה,indignant,"ממורמר, זועם",foreign ,זר,compound,1.תרכובת 2.מתחם סגור,fastened,"הידק, חיזק",Wailing,יללה,,,,
asylum,"בית מחסה, מקלט",tinsel,"חוטי כסף נוצצים, קישוט צעקני",hurdle,מכשול,alleged,"לכאורה, כאילו",forge,"לעצב, ליצור",facility,"מתקן, אמצעי",indispensable ,"הכרחי, חיוני",motorized,ממונע,comprehension,הבנה,rodent,מכרסם,scuffle," תגרה, קטטה",precarious ,"רעוע, בלתי יציב",,
