ng	מסגד
serenity	שלווה
linked	קושר
omission	השמטה
warmth	חום
illuminated	מואר 2.הבהרה
moor	אדמה בוצית
capital	הון
revamp	שיפץ
cling	להיצמד
nail - biting	מותח (מביא לידי כסיסת אצבעות)
ode	פואמה
prognosis	תחזית (סיכוי החלמה- רפואי
civil	אדיב
fray	מריבה
hive	כוורת
inaccurate	לא מדויק
prosecutors	תובע
burials	קבורה
inactive	לא פעיל 2.עצל
caldera	לוע (של הר געש)
inexplicable	בלתי מוסבר
acquittals	זיכויים (במשפט)
inscriptions	כתובות
initial	ראשוני
impecunious	חסר כל
irascible	חם מזג
assorted	מגוון
firm ground	בסיס יציב
gibber	למלמל
crop	לקצץ 2.יבול
drudgery	עבודה קשה ושחורה
outlive	להתקיים יותר זמן ממישהו\משהו אחר
concern	דאגה 2.עניין
foment	המריץ
waistband	חגורה
blob	בועה
astound	להדהים
propensity	נטייה
to this end	למטרה זו
veneration	כבוד
decedent	מת
cyclone	ציקלון
leaping	מנתר
droop	להיחלש
crumble	להתפורר
ivory	שנהב
scowling	כעס
transporting	להוביל
terrace	טרסה (מדרגה בהר)
pertaining	קשור ל
interrupting	מפריע
Purportedly	לכאורה
hauling	גורר
thicken	להתעבות
crumb	פירור
mirage	תעתוע
convex	קמור
convinced	שוכנע
thermometer	מדחום
janitor	שרת
overweigh	להיות יותר ממישהו במשקל\חשיבות\בהשפעה
appetite	תיאבון
extended	הורחב
jet	סילון 2.לפרוץ
overboard	מעבר לסיפון
tousle	פרע
reexamination	בחינה מחדש
perturbed	מוטרד
quintuplet	חמישייה
accomplished	מומחה
dignitary	נכבד
reduced	הפחית
juror	מושבע
overcast	מעונן
encasing	עטיפה
reunite	לאחד
advancement	מקדמה
carbonize	פיחם
old fashioned	שמרני
theft	גניבה
forger	זייפן
privy	מידע על משהו סודי 2.שירותים
lustful	חמדני
tandem	קבוצה בת 2 חברים המסודרים יחד
seraphic	מלאכי
transmission	מסירה
overload	להעמיס יתר על המידה
aloofness	התבדלות
nonrefundable	ללא החזר
disciple	חסיד
transplant	להשתיל
lakeside	בצמוד לאגם
overpower	להכניע
inflect	היטה
exacerbated	החמיר
capturing	לכד
insurmountable	בלתי עביר
credulous	פתי
province	מחוז
upend	הפך
expansion	התפשטות
tarded in	הוחלף
divine	אלוהי
lame	צולע 2.עלוב
invasion	פלישה
deceptively	בצורה מטעה
brushed off	דחה
lane	שביל
oversimplification	פישוט יתר
tempering	ריכוך
injunction	צו מניעה
backed up	מגובה
latter	האחרון
overstate	להדגיש יתר על המידה
ancestry	שושלת
demobilization	שחרור משירות צבאי
oppress	לדכא
dosage	מינון
contempt	בוז
miscarried	הפלה טבעית 2.נכשל
adjunct	תוספת
ruling	שולט
tangle	להסתבך
drag	לגרור
literacy	ידיעת קרוא וכתוב 2.השכלה
owe	להיות חייב
entitle	כינה
impregnating	הפרייה 2.ספיגה
whistleblower	מי שחושף מעשי שחיתות
pacific	שקשור לאוקיינוס השקט 2.שקט
usable	שמיש
pallbearer	נושא מיטה
cosmetics	קוסמטיקה
cardle	עריסה
log	לתעד ביומן
pandemic	מגיפה 2.נפוץ
astonished	מדהים
throttle	משנק
dawn	לזרוח
mainland	יבשת
stamen	אבקן (של פרחים)
quay	רציף
dazzle	להדהים
mankind	כלל האנושות
parentheses	סוגריים 2.במאמר מוסגר
excavating	חפירה
inspectors	מפקחים
swatted	לחבוט
repurposes	שימוש חוזר (התאים משהו לתכלית חדשה)
devotee	חסיד
outlawed	הוצא מחוץ לחוק
peddler	סוחר
seduction	פיתוי
jersey	אפודת צמר
atone	לפצות
deafness	חירשות
middleman	מתווך (אדם שסוגר עסקאות בין אנשים)
perk	הטבה
fatality	גורליות 2.אסון
overloaded	הועמס יתר על מידה
foam	קצף
inaugurated	חונך
midget	גמד
perpetrate	לבצע (בדרך כלל פשע)
pampered	פינק
spell	לאיית
underlined	להדגיש משהו (בעזרת קו תחתון)
submit	להיכנע 2. להגיש
affluent	עמיד
incinerator	משרפה
involuntary	לא רצוני
orphaned	התייתם
decode	לפענח
Overlooked	הוזנח 2.לא התחשבו במשהו
mercilessly	בלי רחמים
reconnaissance	סיור היכרות
deduct	לנכות
thrill	להרעיד
pesticide	חומר הדברה
relentlessly	בקשיחות
saber	סיף (חרב)
mug	ספל 2.להתקיף
cumulative	מצטבר
sorcery	כישוף
novelty	חידוש
indicted	האשים
crevice	בקיע
throbbing	הולם
nudge	לעודד לפעולה 2.דחיפה
oath	שבועה
plagiarism	העתקה
lured	פיתה
supercharged	מוגדש
debilitating	מתיש
ponds	בריכה
admittance	קבלה
definite	מוגדר
deform	לעוות
tidy	נקי
occasional	מקרי
defaced	השחית
aligning	יישור
chorus	מקהלה
Skewer	שיפוד
untamed	לא מרוסן
occasionaly	לעיתים
extracurricular	חוץ לימודי
inflamed	ללבות
condenses	עיבוי
rapport	זיקה
odds	סיכויים
pretentiously	באופן יומרני
resonates	הדהד
demeanour	התנהגות
budgetary	תקציבי
execution	ביצוע
rankle	מטריד
delinquent	עבריין
ought	צריך
inadmissible	בלתי קביל
Undergrad	סטונדט לתואר ראשון
erudite	מלומד
absentee	נעדר
wonderment	התפעלות
tread	לדרוס
outgrow	להיגמל 2.לגדול מעבר למידותיו
inconsiderate	חסר התחשבות
outlaw	להוציא מחוץ לחוק 2.פושע
enrichment	העשרה
